Class;Name;Signature;Ret Type
org.gudy.azureus2.core3.peer.impl.PEPeerManagerStatsImpl;getTimeSinceLastDataReceivedInSeconds;;long
org.gudy.azureus2.core3.peer.PEPeerManagerStats;getTimeSinceLastDataReceivedInSeconds;;long
org.gudy.azureus2.core3.peer.impl.PEPeerManagerStatsImpl;getTimeSinceLastDataSentInSeconds;;long
org.gudy.azureus2.core3.peer.PEPeerManagerStats;getTimeSinceLastDataSentInSeconds;;long
org.gudy.azureus2.core3.peer.impl.control.PEPeerControlImpl;getAvailWentBadTime;;long
org.gudy.azureus2.core3.peer.impl.control.PEPeerControlImpl;getLastRemoteConnectionTime;;long
org.gudy.azureus2.core3.peer.impl.control.PEPeerControlImpl;getETA;boolean;long
org.gudy.azureus2.core3.peer.impl.control.PEPeerControlImpl;getTimeStarted;boolean;long
org.gudy.azureus2.core3.peer.impl.control.PEPeerControlImpl;getTimeStartedSeeding;boolean;long
org.gudy.azureus2.core3.disk.impl.DiskManagerImpl;getMoveProgress;;long
org.gudy.azureus2.core3.disk.impl.DiskManagerImpl;getMoveProgress;;long
org.gudy.azureus2.core3.stats.transfer.impl.OverallStatsImpl;getAverageDownloadSpeed;;long
org.gudy.azureus2.core3.stats.transfer.impl.OverallStatsImpl;getAverageDownloadSpeed;;long
org.gudy.azureus2.core3.stats.transfer.impl.OverallStatsImpl;getAverageUploadSpeed;;long
org.gudy.azureus2.core3.stats.transfer.impl.OverallStatsImpl;getAverageUploadSpeed;;long
org.gudy.azureus2.core3.stats.transfer.impl.OverallStatsImpl;getTotalUpTime;;long
org.gudy.azureus2.core3.stats.transfer.impl.OverallStatsImpl;getTotalUpTime;boolean;long
org.gudy.azureus2.core3.stats.transfer.impl.OverallStatsImpl;getTotalUpTime;boolean;long
org.gudy.azureus2.core3.stats.transfer.impl.OverallStatsImpl;getTotalUpTime;boolean;long
org.gudy.azureus2.core3.stats.transfer.impl.OverallStatsImpl;getTotalUpTime;boolean;long
org.gudy.azureus2.core3.stats.transfer.impl.OverallStatsImpl;getMarkTime;;long
org.gudy.azureus2.core3.stats.transfer.impl.OverallStatsImpl;getSessionUpTime;;long
com.aelitis.net.udp.uc.impl.PRUDPPacketHandlerRequestImpl;getSendTime;;long
