Class;Name;Signature;TimePars
org.apache.kafka.jmh.record.generated.RecordBatchIterationBenchmark_measureIteratorForBatchWithSingleMessage_jmhTest;measureIteratorForBatchWithSingleMessage_ss_jmhStub;InfraControl,RawResults,BenchmarkParams,IterationParams,ThreadParams,Blackhole,Control,int,int,RecordBatchIterationBenchmark_jmhType;1,Timestamp
org.apache.kafka.jmh.record.generated.RecordBatchIterationBenchmark_measureIteratorForBatchWithSingleMessage_jmhTest;measureIteratorForBatchWithSingleMessage_thrpt_jmhStub;InfraControl,RawResults,BenchmarkParams,IterationParams,ThreadParams,Blackhole,Control,int,RecordBatchIterationBenchmark_jmhType;1,Timestamp
org.apache.kafka.jmh.record.generated.RecordBatchIterationBenchmark_measureStreamingIteratorForVariableBatchSize_jmhTest;measureStreamingIteratorForVariableBatchSize_avgt_jmhStub;InfraControl,RawResults,BenchmarkParams,IterationParams,ThreadParams,Blackhole,Control,int,RecordBatchIterationBenchmark_jmhType;1,Timestamp
org.apache.kafka.jmh.record.generated.RecordBatchIterationBenchmark_measureStreamingIteratorForVariableBatchSize_jmhTest;measureStreamingIteratorForVariableBatchSize_ss_jmhStub;InfraControl,RawResults,BenchmarkParams,IterationParams,ThreadParams,Blackhole,Control,int,int,RecordBatchIterationBenchmark_jmhType;1,Timestamp
org.apache.kafka.jmh.record.generated.RecordBatchIterationBenchmark_measureStreamingIteratorForVariableBatchSize_jmhTest;measureStreamingIteratorForVariableBatchSize_thrpt_jmhStub;InfraControl,RawResults,BenchmarkParams,IterationParams,ThreadParams,Blackhole,Control,int,RecordBatchIterationBenchmark_jmhType;1,Timestamp
org.apache.kafka.trogdor.coordinator.TaskManager;handleWorkerCompletion;ManagedTask,String,WorkerDone;0,Timestamp
org.apache.kafka.trogdor.workload.Throttle;delay;long;0,Duration
org.apache.kafka.clients.producer.internals.ProduceRequestResult;await;long,TimeUnit;0,Duration
org.apache.kafka.clients.producer.internals.Sender;awaitLeastLoadedNodeReady;long;0,Duration
org.apache.kafka.clients.producer.internals.FutureRecordMetadata;get;long,TimeUnit;0,Duration
org.apache.kafka.clients.producer.internals.TransactionalRequestResult;await;long,TimeUnit;0,Duration
org.apache.kafka.clients.producer.KafkaProducer;waitOnMetadata;String,Integer,long;2,Duration
org.apache.kafka.clients.producer.KafkaProducer;close;long,TimeUnit;0,Duration
org.apache.kafka.clients.producer.KafkaProducer;close;long,TimeUnit,boolean;0,Duration
org.apache.kafka.clients.Metadata;awaitUpdate;int,long;1,Duration
